"","FP_1","FP_2","FP_3","FP_4","FS_1","FS_2","FS_3","N_1","N_2","N_3"
"Q9UBI6",14616.9,15288,11630.3,13932.5,24266.7,28297.7,16394.4,18279.1,22349,24862.8
"Q9UBQ7",8329.37,9379.23,3795.41,4261.22,12492.9,11761.3,7588.82,13333.8,13735.4,8383.78
"Q9UBR2",6956.5,3748.92,10932.1,9356.18,3505.9,4120.36,16876.3,4921.21,3591.77,4330.93
"Q9UBX5",208135,172856,240434,158623,121765,452566,258018,451401,468042,484100
"Q9UGI8",109056,112011,61188.9,27360.1,166456,201306,151406,148769,195943,196164
"Q9UH99",4038.56,2554.69,2479.41,2523.22,3424.18,2998.55,4908.47,4199.69,4423.13,5120.02
"Q9UHG3",12754.8,14743.8,18793.6,11276.4,30380.6,36473.7,18418.3,33670.4,32704.5,27347.9
"Q9UIJ7",9244.52,4127.55,1668.13,8763.91,13111.4,10350.7,8083.02,9088.12,11498.3,6354.27
"Q9UJ70",5252.2,5846.77,5656.05,8343.9,9612.38,12578.2,7524.38,10003.7,6952.53,8373.99
"Q9UJU6",2171.84,1933.96,1267.71,1612.93,3408.27,3761.81,4577.09,2943.1,4036.38,4739.65
"Q9UL25",7851.73,7096.97,6077.28,4950.5,9840.59,8282.21,7805.21,6135.22,9065.12,8357.73
"Q9ULV4",17421,12203.6,10615.9,8603.2,23989.7,33359.8,32142.9,33214.3,30962.8,41372.8
"Q9UMS6",56595.5,48737.7,22324,10402.8,89777.5,133164,121040,108828,158165,142126
"Q9UMY4",4400.33,3626.87,2795.66,3940.57,7174.98,5640.52,6934.64,6644.36,8419.49,8241.13
"Q9UNF0",13207.1,10118.3,3036.47,6671.45,19712.2,22564.6,8435.23,18904.3,25636.6,18814
"Q9UNH7",5924.91,4125.53,3496.91,5123.26,6255.32,9060.68,6747.98,4488.52,4844.37,8978.07
"Q9Y266",3976.99,1371.59,1410.58,1531.4,5537.87,5224.45,4591.8,5317.22,3784.48,6187.85
"Q9Y2A7",4026.7,3278.9,2766.15,1701.02,5523.02,6569.5,6740.77,5980.69,2070.05,6693.28
"Q9Y2S2",6819.82,5376.07,2342.91,6035.14,6515.63,11524.8,6791.03,8731.02,13038.4,6975.62
"Q9Y3A5",15252.6,14318.3,7782.65,13658.1,28021,22327.2,18844.1,19991.8,23620.2,20868.6
"Q9Y3I0",10776.3,9054.2,6852.31,2175.32,14495.1,15534.2,13392.9,15395.2,14262.9,13590.4
"Q9Y3Z3",3021.98,380.99,2302.34,4991.13,2593.13,3200.5,5573.5,1969.43,2716.49,1809.36
"Q9Y490",737187,824325,463247,369847,1120000,1450000,1220000,1210000,1660000,1370000
"Q9Y4G6",2999.14,8293.87,2417.03,2215.42,10088.9,16667.9,19773.6,14527.3,25419.7,17989.7
"Q9Y5Z4",13785,13050.6,13014.4,8885.83,17025.4,22139.6,20985.3,20160,20440.5,30414.3
"Q9Y639",5387.41,3422.55,1991.1,3000.13,5677.43,7887.71,6656.58,8567.36,8133.65,6989.61
"Q9Y646",3110.69,5255.69,4252.85,3093.72,5317.63,4055.34,4539.3,6360.77,5407.98,3457.52
"Q9Y696",27658.4,10046.5,6034.33,15255.8,39957.2,48718.9,31911.2,36320.3,49530.4,47566.5
"Q9Y6C2",133818,99957.9,129066,160907,193895,174348,157676,163332,154816,207079
"Q9Y6N5",7414.51,2151.1,821.33,6986.33,9342.79,17517.2,6719.64,11312.7,11378.7,8275.01
