"","FP_1","FP_2","FP_3","FP_4","FS_1","FS_2","FS_3","N_1","N_2","N_3"
"P35555",1570000,767809,956003,624507,925823,827623,1260000,710933,775278,768317
"P35573",1708.94,1803.82,1125.84,711.03,2225.65,1410.61,1378.09,1967.61,2126.49,2059.79
"P35579",1380000,1250000,851327,861758,1990000,2170000,1180000,1650000,1850000,1170000
"P35580",1670000,1650000,1150000,867874,2130000,2690000,2010000,2210000,2550000,2620000
"P35606",1799.67,1577.92,729.44,2875.6,2093.25,3468.85,3246.22,2751.47,1921.85,2817.29
"P35749",2420000,2800000,1650000,1490000,3460000,5770000,4130000,5330000,5860000,5010000
"P36542",11835.6,10932.5,8976.89,11495.9,9720.65,16200.1,16071,13721.8,11911.2,12841.7
"P36871",71500.5,59436.5,34761.9,64304.8,111565,133739,76664.2,127032,127633,140392
"P36955",113798,128345,98638.2,64784.6,98424.5,83015.4,155951,73157.4,69625.9,168046
"P36980",8683.64,8407.19,4749.21,5887.8,7233.62,5680.34,5876.85,917.68,1245.91,10751
"P37802",716961,778534,573523,265999,1150000,840870,741291,699490,612188,883724
"P37837",18762.1,14833.2,9848.87,25645.4,27627.7,19553.3,15991,22216.8,23232.6,14978.4
"P38117",8532.53,4184.53,3861.11,8813.22,8916.66,11262.8,10097,23166.9,13656.7,9585.44
"P38606",1840.69,1583.65,2817.13,11299.2,3369.8,6622.6,3503.71,5807.91,7509.46,1485.34
"P38646",18191.4,13302.1,8978.24,17497.4,20374.5,17646.9,17511.4,32465.3,25802.6,19124
"P39019",12057.9,11510.8,7245.38,15984.6,16828.5,15996.2,14999.9,15971.5,20034,17237.8
"P39023",3187.55,2680.45,2871.78,4187.81,4144.31,4151.34,4370.97,3380.33,5047.62,3065.76
"P39059",33967.9,30771.2,45029.3,37936,34600.3,27462,62832.1,50385.7,38174.8,35551.3
"P39060",237061,220780,131129,79007.1,204971,486675,423607,358352,468006,499836
"P39656",10163.7,9280.09,7845.34,6019.94,8183.79,11813,6669.91,15976.5,14048.5,14531.2
"P40123",11906.7,11274.1,1585.98,4636.93,16433.9,16996.5,17082.4,16184.5,14625.4,19954.8
"P40227",3925.29,5489.68,3143.44,4466.78,5304.89,4841.57,6788.53,7115.26,5755.81,6952.17
"P40925",60159.9,56493,34523.8,53626.4,81026.4,83606.3,73734.7,98682.2,78305.6,88507.1
"P40926",31412.1,26128.5,21214.6,40228.2,28712.7,37359.3,47924.2,78457.3,43566.4,63282.5
"P40939",22663.7,34014.1,19873.5,35572.9,43155.1,56652.2,49130.9,48804.1,54342,38027.3
"P43121",50589.7,49047.2,25874.6,22701.7,117561,169404,71929.6,88724.7,136348,89102.4
"P43652",41016.6,21285.8,34906.8,18111.4,15786.2,7086.84,22462.6,15786.9,15174.1,14811.6
"P45880",17149.7,17945.9,11750.1,21111.6,36581.5,41373.7,40551.2,47717.3,50291.1,40853.3
"P45974",11354.8,9151.26,6349.28,9390.77,16447.8,16332,15305.2,18807.8,20897,17765.4
"P46108",7591.93,8899.07,12556.3,28647.7,5228.74,21598.5,34266.6,24281.8,9845.58,26411.3
"P46109",2397.81,2900.95,1385.42,1459.83,3588.42,3676.89,4543.19,1652.62,3321.8,4364.8
"P46777",12842.7,9874.15,8273.96,10168.4,10622,13164.1,14495.7,11858.7,14008.5,13813.8
"P46781",16580.7,9123.32,9261.94,19447.8,16856.4,17890.6,15347.9,17744.3,15150.9,10498
"P46782",6636.05,2354.75,2497.19,9935.87,8631.42,10645.5,11749.5,5170.62,4742.9,10688.5
"P46783",1922.47,3218.55,4309.86,6376.76,9169.8,9658.5,2543.68,8515.7,8519.57,7066.81
"P46821",61275.2,41671.7,13203.6,9487.52,80218.5,104184,120092,93977.2,106776,159161
"P46926",5555.3,5404.05,2005.18,5375.75,7992.5,7659.76,7839.68,8138.33,6315.21,8155.81
"P46940",105049,84351.9,61606.4,95766.1,158962,150528,137899,127708,139194,124213
"P46952",5053.97,15183.8,1837.5,12445.5,13684.8,24315.5,19663.9,28985.7,25038,22392
"P46976",21182.8,19347.1,15668.9,7556.3,34758.2,31781.8,27493.3,27052.2,29831.5,49764.7
"P47755",12923.9,10374.5,5565.84,10921.4,15469.4,17664.3,14957.6,16370,17382.3,17373
"P47756",40560.4,45115.1,32273.8,34217.7,59277.2,64998.6,55669.7,68274.7,66914.1,60056.2
"P48047",14017.6,19226.4,13384.3,12069.2,19394.6,16974.4,22731.8,22215.7,22347,22805.3
"P48059",17890.3,21134.4,20190,21354.1,13495,21646.4,51861.3,46123.8,51730.8,79427.3
"P48444",3186.1,1241.79,770.01,4459.16,5041.4,5422.8,5071.53,6137.73,5406.86,5028.18
"P48509",20102,11670.6,7732.33,7726.47,12584.4,24070.4,6669.38,9749.06,17079.7,26529.8
"P48643",10205.6,11610.2,5791.88,9274.91,17742.6,16808.4,14811.8,15935.1,14408,17042.4
"P48735",13439.7,8798.94,2902.32,16291.6,11474.3,6960.67,12007.6,14271.1,10165.9,6804.33
"P48745",20004.7,19406.5,11830.2,4721.34,16375,31203.3,9305.57,25089.8,27369.9,21582.4
"P48960",2795.14,3517.28,2631.99,2801.39,4213.03,2927.17,2198.12,3285.19,4801.85,6318.77
"P49189",23575.1,16436,7054.54,29307.1,25898.5,40461.6,34349.9,33973.5,48029.5,34805.8
"P49257",1748.23,655.78,1244.56,2971.56,2711.75,2340.13,2079.51,2391.17,2895.56,2266.91
"P49368",14351.6,12456.5,8219.63,16680.2,26628.5,32928.8,24715.7,29263.8,17502.1,20155.1
"P49411",11137.2,8457.07,6316.06,12157.8,15004.3,16453.5,11934.8,19035.4,18407.7,8426.1
"P49591",2712.78,2179.08,2408.97,3268.07,4623.23,4222.71,3938.74,4368.12,4007.18,4971.19
"P49721",2081.11,2765.07,3231.63,710.25,4658.52,4143.6,2699.24,4084.75,4708.96,2477.62
"P49908",17312.7,9895.74,9568.16,5607.01,8721.11,16186,10460,5190.44,7923.72,20553.3
"P50395",34432.3,22350.9,12923.2,34225.8,53220.6,54044.8,49262.5,50964.2,44949.9,46771.9
